,lemma,pos,synset_cnt,p_cnt,ptr_symbol,sense_cnt,tagsense_cnt,synset_offset
20133,unsentimental,a,1,1,&,1,0,02448749
20134,unserviceable,a,2,3,"['!', '&', '^']",2,0,"['02124654', '02497830']"
20135,unservile,a,1,1,!,1,1,00791131
20136,unsettled,a,4,2,"['!', '&']",4,1,"['02130514', '02126889', '02504558', '01313835']"
20137,unsexed,a,1,1,&,1,0,02136802
20138,unsexy,a,1,2,"['!', '&']",1,0,['02134999']
20139,unshackled,a,1,1,&,1,0,00254296
20140,unshaded,a,2,2,"['!', '&']",2,0,"['00277867', '00277183']"
20141,unshadowed,a,1,1,&,1,0,00277339
20142,unshakable,a,2,1,['&'],2,1,"['01990653', '00591513']"
20143,unshaken,a,1,1,&,1,0,01991783
20144,unshaped,a,1,1,&,1,0,02152078
20145,unshapely,a,1,3,"['!', '&', '^']",1,0,['02140492']
20146,unshapen,a,1,1,&,1,0,02152078
20147,unshared,a,1,3,"['!', '&', '^']",1,0,['02152848']
20148,unsharpened,a,1,1,&,1,1,00800755
20149,unshaved,a,1,1,&,1,1,02153817
20150,unshaven,a,1,2,"['!', '&']",1,1,['02153817']
20151,unsheared,a,2,2,"['!', '&']",2,0,"['02154635', '00664317']"
20152,unsheathed,a,1,1,!,1,0,02155524
20153,unshelled,a,1,1,!,1,0,02597007
20154,unshielded,a,1,1,&,1,1,01886963
20155,unshockable,a,1,1,!,1,0,02155771
20156,unshod,a,2,3,"['!', '&', ';']",2,0,"['02157041', '02156579']"
20157,unshoed,a,1,1,&,1,0,02156579
20158,unshorn,a,1,0,[],1,0,['02154635']
20159,unshrinkable,a,1,1,!,1,0,02158192
20160,unshrinking,a,1,1,&,1,0,00082034
20161,unshuttered,a,1,1,!,1,0,02256732
20162,unsighted,a,1,1,&,1,0,02158826
20163,unsightly,a,1,2,"['&', '+']",1,0,['00222543']
20164,unsigned,a,1,1,!,1,1,02161314
20165,unsilenced,a,1,1,!,1,0,02166277
20166,unsinkable,a,1,1,!,1,0,02213824
20167,unsized,a,2,2,"['!', '&']",2,0,"['02225387', '02225071']"
20168,unskilled,a,3,3,"['!', '&', '^']",3,0,"['02228335', '01870636', '01128103']"
20169,unskillful,a,1,2,"['&', '+']",1,0,['02229000']
20170,unsleeping,a,1,1,&,1,0,00187443
20171,unsloped,a,1,1,&,1,1,01234030
20172,unsmiling,a,1,1,&,1,1,01368726
20173,unsmooth,a,1,2,"['&', '^']",1,0,['02238462']
20174,unsmoothed,a,1,1,&,1,0,01360571
20175,unsnarled,a,1,1,&,1,0,00256538
20176,unsociable,a,1,5,"['!', '&', '^', '=', '+']",1,0,['02258600']
20177,unsocial,a,1,4,"['!', '&', '^', '=']",1,0,['02249441']
20178,unsoiled,a,1,1,&,1,0,00418950
20179,unsold,a,1,1,!,1,1,02259667
20180,unsoldierly,a,1,1,&,1,0,01519167
20181,unsolicited,a,1,1,&,1,0,01965512
20182,unsoluble,a,1,1,&,1,0,02266771
20183,unsolvable,a,1,1,&,1,0,02266771
20184,unsolved,a,1,1,!,1,1,02267164
20185,unsophisticated,a,3,1,['&'],3,0,"['02273088', '02175980', '00636891']"
20186,unsorted,a,2,1,['&'],2,0,"['02225202', '00415116']"
20187,unsought,a,1,1,&,1,0,02529047
20188,unsound,a,6,4,"['!', '&', '^', '+']",6,0,"['02275629', '02274253', '02500179', '02076817', '01174222', '00725704']"
20189,unsoundable,a,1,1,&,1,0,00995027
20190,unsounded,a,2,1,['&'],2,0,"['00691141', '00175123']"
20191,unsoured,a,1,2,"['!', '&']",1,0,['02369989']
20192,unsown,a,1,1,&,1,0,01832807
20193,unspaced,a,1,2,"['!', '&']",1,0,['01656416']
20194,unsparing,a,2,1,['&'],2,0,"['01111965', '00438063']"
20195,unspeakable,a,3,1,['&'],3,2,"['00944111', '01126291', '02055617']"
20196,unspecialised,a,1,2,"['&', '^']",1,0,['02278337']
20197,unspecialized,a,1,3,"['!', '&', '^']",1,0,['02278337']
20198,unspecific,a,1,1,&,1,0,01101891
20199,unspecified,a,1,1,!,1,0,01100082
20200,unspectacular,a,1,1,&,1,0,00795671
20201,unspent,a,1,1,&,1,0,00926871
20202,unspoiled,a,2,1,['&'],2,0,"['01068306', '00623261']"
20203,unspoilt,a,1,1,&,1,0,01068306
20204,unspoken,a,2,1,['&'],2,1,"['00152285', '00942380']"
20205,unsporting,a,1,1,&,1,0,00957743
20206,unsportsmanlike,a,1,1,&,1,0,00957743
20207,unspotted,a,1,1,&,1,0,00418950
20208,unstable,a,6,4,"['!', '&', '^', '+']",6,3,"['02291843', '01929456', '00823192', '02076817', '01992712', '00345494']"
20209,unstaged,a,1,2,"['!', '&']",1,0,['02294563']
20210,unstained,a,4,2,"['!', '&']",4,2,"['00402159', '01714406', '00418950', '00247247']"
20211,unstarred,a,1,1,&,1,0,01481282
20212,unstated,a,1,1,&,1,0,00942380
20213,unstatesmanlike,a,1,2,"['!', '^']",1,0,['00753378']
20214,unsteady,a,2,4,"['!', '&', '^', '+']",2,0,"['02303077', '01061310']"
20215,unsterilised,a,1,1,&,1,0,02117144
20216,unsterilized,a,1,1,&,1,0,02117144
20217,unstilted,a,1,1,&,1,1,00075019
20218,unstimulating,a,1,3,"['!', '&', '^']",1,0,['02307367']
20219,unstinted,a,1,1,&,1,0,01111965
20220,unstinting,a,1,1,&,1,0,01111965
20221,unstirred,a,1,1,&,1,0,00088899
20222,unstoppable,a,1,2,"['!', '&']",1,0,['02288118']
20223,unstoppered,a,1,1,&,1,0,01653231
20224,unstrained,a,2,1,['&'],2,0,"['02408140', '00838659']"
20225,unstratified,a,1,2,"['!', ';']",1,0,['00208946']
20226,unstressed,a,1,2,"['!', '&']",1,1,['02320117']
20227,unstructured,a,2,3,"['!', '&', '^']",2,1,"['01671881', '01680283']"
20228,unstrung,a,1,1,&,1,1,00532753
20229,unstuck,a,2,2,"['!', '&']",2,0,"['00161276', '01670037']"
20230,unstudied,a,2,3,"['!', '&', '^']",2,0,"['01799035', '00831903']"
20231,unstudious,a,1,1,&,1,0,02084735
20232,unstylish,a,2,2,"['&', '^']",2,0,"['00976123', '00973844']"
20233,unsuasible,a,1,1,&,1,0,02364245
20234,unsubdivided,a,1,3,"['&', '^', ';']",1,0,['02166346']
20235,unsubduable,a,1,1,&,1,0,00570099
20236,unsubdued,a,1,1,&,1,0,02391342
20237,unsubmissive,a,1,0,[],1,0,['00791131']
20238,unsubstantial,a,1,4,"['&', '^', '=', '+']",1,0,['00625774']
20239,unsubstantiated,a,1,1,&,1,0,02353599
20240,unsubtle,a,1,1,&,1,0,00428878
20241,unsuccessful,a,2,4,"['!', '&', '^', '=']",2,2,"['02333453', '01082714']"
20242,unsufferable,a,1,1,&,1,0,02436025
20243,unsugared,a,1,1,&,1,0,02338468
20244,unsuitable,a,4,2,"['&', '+']",4,1,"['01021607', '01976851', '01129823', '00853473']"
20245,unsuited,a,1,1,&,1,1,01487352
20246,unsullied,a,2,1,['&'],2,0,"['00419058', '00247247']"
20247,unsung,a,2,1,['&'],2,1,"['01122595', '00028867']"
20248,unsupervised,a,1,2,"['!', '&']",1,0,['02350353']
20249,unsupportable,a,1,1,&,1,0,02436245
20250,unsupported,a,2,2,"['!', '&']",2,0,"['02353026', '02352301']"
20251,unsupportive,a,1,3,"['!', '&', '^']",1,0,['02356430']
20252,unsuppressed,a,1,1,&,1,0,01317560
20253,unsure,a,2,3,"['!', '&', '=']",2,0,"['00339941', '00337404']"
20254,unsurmountable,a,2,2,"['&', '^']",2,0,"['02357115', '01725422']"
20255,unsurpassable,a,1,1,&,1,0,00229487
20256,unsurpassed,a,1,1,&,1,0,00229371
20257,unsurprised,a,1,1,!,1,0,02359308
20258,unsurprising,a,1,2,"['!', '^']",1,0,['02360351']
20259,unsusceptible,a,1,5,"['!', '&', '^', '=', '+']",1,0,['02363358']
20260,unsuspected,a,1,2,"['!', '&']",1,0,['02370329']
20261,unsuspecting,a,2,1,['&'],2,0,"['02463029', '00192523']"
