,lemma,pos,synset_cnt,p_cnt,ptr_symbol,sense_cnt,tagsense_cnt,synset_offset
10163,swell,v,6,4,"['@', '~', '>', '+']",6,5,"['00555084', '02596908', '00256507', '02626405', '01991204', '00257650']"
10164,swell_up,v,1,2,"['@', '~']",1,0,['00256507']
10165,swelter,v,2,1,['@'],2,0,"['00078316', '00069747']"
10166,swerve,v,1,3,"['@', '~', '+']",1,1,['02033295']
10167,swig,v,2,3,"['@', '*', '+']",2,0,"['01415585', '01202068']"
10168,swill,v,2,2,"['@', '+']",2,0,"['01178220', '01169433']"
10169,swill_down,v,1,1,@,1,0,01169433
10170,swim,v,5,4,"['@', '~', '$', '+']",5,2,"['01960911', '01904293', '02756063', '02755911', '01904649']"
10171,swindle,v,1,3,"['@', '~', '+']",1,1,['02572119']
10172,swing,v,13,4,"['@', '~', '+', ';']",13,9,"['02087745', '01877355', '01877620', '02537238', '01593763', '02717472', '01152040', '00557216', '02615140', '02752277', '02389815', '01725375', '01427483']"
10173,swing_about,v,1,1,@,1,0,01878949
10174,swing_around,v,1,1,@,1,1,01878949
10175,swing_out,v,1,1,@,1,0,01593763
10176,swing_over,v,1,1,@,1,0,02537238
10177,swinge,v,1,1,@,1,0,00378521
10178,swipe,v,2,3,"['@', '^', '+']",2,1,"['01394200', '02276866']"
10179,swirl,v,2,2,"['@', '+']",2,2,"['02048891', '02047650']"
10180,swish,v,1,2,"['@', '+']",1,1,['02188198']
10181,switch,v,7,4,"['@', '~', '$', '+']",7,4,"['00140751', '02259005', '00550117', '00380159', '01510173', '01411630', '00121678']"
10182,switch-hit,v,1,3,"['@', '+', ';']",1,0,['01413719']
10183,switch_off,v,1,3,"['!', '@', '~']",1,1,['01510576']
10184,switch_on,v,1,2,"['!', '@']",1,1,['01510399']
10185,switch_over,v,1,1,@,1,0,00140751
10186,swivel,v,1,3,"['@', '~', '+']",1,1,['02046572']
10187,swob,v,2,2,"['@', '+']",2,0,"['01244178', '01233194']"
10188,swoon,v,1,2,"['@', '+']",1,1,['00023646']
10189,swoop,v,3,3,"['@', '~', '+']",3,1,"['02064358', '02064759', '01440010']"
10190,swoop_up,v,1,1,@,1,1,01440010
10191,swoosh,v,1,1,@,1,0,02188198
10192,swop,v,1,2,"['@', '+']",1,0,['02259005']
